1	ладно	ладно	PART	_	_	_	_	_	@kib1997f-words#@kib1997f#0.0#0.304
2	давай	давать	VERB	_	Aspect=Imp|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	_	_	_	@kib1997f-words#@kib1997f#0.304#0.608
3	поговорим	говорить	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	@kib1997f-words#@kib1997f#0.608#0.912
4	про	про	ADP	_	_	_	_	_	@kib1997f-words#@kib1997f#0.912#1.216
5	твой	твой	DET	_	Case=Acc|Gender=Masc|Number=Sing	_	_	_	@kib1997f-words#@kib1997f#1.216#1.52
6	переезд	переезд	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@kib1997f-words#@kib1997f#1.52#1.824
7	аээ	аээ	INTJ	_	_	_	_	_	@kib1997f-words#@kib1997f#1.824#2.128
8	/	/	PUNCT	_	_	_	_	_	@kib1997f-words#@kib1997f#2.128#2.432
9	насколько	насколько	ADV	_	Degree=Pos	_	_	_	@kib1997f-words#@kib1997f#2.432#2.736
10	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@kib1997f-words#@kib1997f#2.736#3.04
11	знаю	знать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@kib1997f-words#@kib1997f#3.04#3.344
12	/	/	PUNCT	_	_	_	_	_	@kib1997f-words#@kib1997f#3.344#3.648
13	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@kib1997f-words#@kib1997f#3.648#3.952
14	родом	родом	ADV	_	Degree=Pos	_	_	_	@kib1997f-words#@kib1997f#3.952#4.256
15	из	из	ADP	_	_	_	_	_	@kib1997f-words#@kib1997f#4.256#4.56
16	вообще	вообще	ADV	_	Degree=Pos	_	_	_	@kib1997f-words#@kib1997f#4.56#4.864
17	маленького	маленький	ADJ	_	Case=Gen|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@kib1997f-words#@kib1997f#4.864#5.168
18	городка	городок	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@kib1997f-words#@kib1997f#5.168#5.472
19	там	там	ADV	_	Degree=Pos	_	_	_	@kib1997f-words#@kib1997f#5.472#5.776
20	чёт	что-то	ADV	_		_	_	_	@kib1997f-words#@kib1997f#5.776#6.08
21	населённостью	населённость	NOUN	_	Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing	_	_	_	@kib1997f-words#@kib1997f#6.08#6.384
22	вообще	вообще	ADV	_	Degree=Pos	_	_	_	@kib1997f-words#@kib1997f#6.384#6.688
23	несколько	несколько	NUM	_	Animacy=Inan|Case=Nom	_	_	_	@kib1997f-words#@kib1997f#6.688#6.992
24	тысяч	тысяча	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur	_	_	_	@kib1997f-words#@kib1997f#6.992#7.304
25	э	э	INTJ	_	_	_	_	_	@kib1997f-words#@kib1997f#8.021#8.235
26	расскажи	рассказать	VERB	_	Aspect=Perf|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	_	_	_	@kib1997f-words#@kib1997f#8.235#8.449
27	поподробнее	подробно	ADV	_	Degree=Cmp	_	_	_	@kib1997f-words#@kib1997f#8.449#8.663
28	о	о	ADP	_	_	_	_	_	@kib1997f-words#@kib1997f#8.663#8.877
29	жизни	жизнь	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	@kib1997f-words#@kib1997f#8.877#9.091
30	там	там	ADV	_	Degree=Pos	_	_	_	@kib1997f-words#@kib1997f#9.091#9.305
31	/	/	PUNCT	_	_	_	_	_	@kib1997f-words#@kib1997f#9.305#9.519
32	вообще	вообще	ADV	_	Degree=Pos	_	_	_	@kib1997f-words#@kib1997f#9.519#9.739
33	а	а	CCONJ	_	_	_	_	_	@kib1997f-words#@kib1997f#31.543#31.767
34	что	что	PRON	_	Case=Acc	_	_	_	@kib1997f-words#@kib1997f#31.767#31.991
35	именно	именно	PART	_	_	_	_	_	@kib1997f-words#@kib1997f#31.991#32.217
36	тебя	ты	PRON	_	Case=Acc|Number=Sing|Person=2	_	_	_	@kib1997f-words#@kib1997f#32.217#32.374
37	?	?	PUNCT	_	_	_	_	_	@kib1997f-words#@kib1997f#32.374#32.531
38	/	/	PUNCT	_	_	_	_	_	@kib1997f-words#@kib1997f#32.531#32.688
39	ээ	ээ	INTJ	_	_	_	_	_	@kib1997f-words#@kib1997f#32.688#32.847
40	ну	ну	PART	_	_	_	_	_	@kib1997f-words#@kib1997f#38.13#38.202
41	чем	что	PRON	_	Case=Ins	_	_	_	@kib1997f-words#@kib1997f#38.202#38.274
42	?	?	PUNCT	_	_	_	_	_	@kib1997f-words#@kib1997f#38.274#38.347
43	угу	угу	INTJ	_	_	_	_	_	@kib1997f-words#@kib1997f#48.804#49.021
44	а	а	CCONJ	_	_	_	_	_	@kib1997f-words#@kib1997f#79.934#80.124
45	что	что	PRON	_	Case=Nom	_	_	_	@kib1997f-words#@kib1997f#80.124#80.314
46	это	это	PART	_	_	_	_	_	@kib1997f-words#@kib1997f#80.314#80.504
47	за	за	ADP	_	_	_	_	_	@kib1997f-words#@kib1997f#80.504#80.694
48	город	город	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@kib1997f-words#@kib1997f#80.694#80.884
49	?	?	PUNCT	_	_	_	_	_	@kib1997f-words#@kib1997f#80.884#81.074
50	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@kib1997f-words#@kib1997f#81.074#81.264
51	просто	просто	PART	_	_	_	_	_	@kib1997f-words#@kib1997f#81.264#81.454
52	по-моему	по-моему	ADV	_	Degree=Pos	_	_	_	@kib1997f-words#@kib1997f#81.454#81.644
53	нигде	нигде	ADV	_	Degree=Pos	_	_	_	@kib1997f-words#@kib1997f#81.644#81.834
54	не	не	PART	_	_	_	_	_	@kib1997f-words#@kib1997f#81.834#82.024
55	называл	называть	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@kib1997f-words#@kib1997f#82.024#82.217
56	ну	ну	PART	_	_	_	_	_	@kib1997f-words#@kib1997f#91.326#91.527
57	то	то	CCONJ	_	_	_	_	_	@kib1997f-words#@kib1997f#91.527#91.728
58	есть	есть	CCONJ	_	_	_	_	_	@kib1997f-words#@kib1997f#91.728#91.929
