1	уже	уже	ADV	_	Degree=Pos	3	obl	_	@aap1989m-words#@aap1989m#47.632#47.905
2	для	для	ADP	_	_	3	case	_	@yad1986m-words#@yad1986m#0.11#0.487
3	чего	что	PRON	_	Case=Gen	5	obl	_	@yad1986m-words#@yad1986m#0.487#0.864
4	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	5	nsubj	_	@yad1986m-words#@yad1986m#0.864#1.241
5	придумал	придумать	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	0	root	_	@yad1986m-words#@yad1986m#1.241#1.618
6	/	/	PUNCT	_	_	8	punct	_	@yad1986m-words#@yad1986m#1.618#1.995
7	моноспектакль	моноспектакль	ADV	_	Degree=Pos	8	advmod	_	@yad1986m-words#@yad1986m#1.995#2.372
8	заново	заново	ADV	_	Degree=Pos	9	advmod	_	@yad1986m-words#@yad1986m#2.372#2.749
9	родиться	рождаться	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Mid	5	xcomp	_	@yad1986m-words#@yad1986m#2.749#3.126
10	?	?	PUNCT	_	_	40	punct	_	@yad1986m-words#@yad1986m#3.126#3.51
11	где	где	ADV	_	Degree=Pos	13	advmod	_	@yad1986m-words#@yad1986m#7.85#8.183
12	/	/	PUNCT	_	_	11	punct	_	@yad1986m-words#@yad1986m#8.183#8.516
13	расскажи	расскаж	VERB	_	Aspect=Perf|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	40	advcl	_	@yad1986m-words#@yad1986m#8.516#8.849
14	/	/	PUNCT	_	_	15	punct	_	@yad1986m-words#@yad1986m#8.849#9.182
15	где	где	ADV	_	Degree=Pos	13	parataxis	_	@yad1986m-words#@yad1986m#9.182#9.515
16	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	15	nsubj	_	@yad1986m-words#@yad1986m#9.515#9.848
17	был	быть	AUX	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	15	cop	_	@yad1986m-words#@yad1986m#9.848#10.181
18	/	/	PUNCT	_	_	19	punct	_	@yad1986m-words#@yad1986m#10.181#10.514
19	Гоа	Го	PROPN	_	Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing	15	appos	_	@yad1986m-words#@yad1986m#10.514#10.847
20	/	/	PUNCT	_	_	21	punct	_	@yad1986m-words#@yad1986m#10.847#11.18
21	Таиланд	Таиланд	PROPN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	19	nmod	_	@yad1986m-words#@yad1986m#11.18#11.52
22	так	так	ADV	_	Degree=Pos	24	obl	_	@yad1986m-words#@yad1986m#12.96#13.22
23	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	24	nsubj	_	@yad1986m-words#@yad1986m#79.14#79.41
24	то	то	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	40	mark	_	@yad1986m-words#@yad1986m#79.41#79.68
25	что	что	PRON	_	Case=Nom	26	nsubj	_	@yad1986m-words#@yad1986m#79.68#79.95
26	нужно	нужный	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	40	parataxis	_	@yad1986m-words#@yad1986m#79.95#80.22
27	/	/	PUNCT	_	_	26	punct	_	@yad1986m-words#@yad1986m#80.22#80.49
28	наконец-то	наконец-то	ADV	_	Degree=Pos	40	advmod	_	@yad1986m-words#@yad1986m#80.49#80.76
29	все	весь	DET	_	Case=Acc|Number=Plur	30	det	_	@yad1986m-words#@yad1986m#80.76#81.03
30	детали	деталь	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	40	obl	_	@yad1986m-words#@yad1986m#81.03#81.3
31	которые	который	PRON	_	Case=Acc	30	nmod	_	@yad1986m-words#@yad1986m#81.3#81.57
32	нужда...	нужда...	PROPN	_	Animacy=Anim|Case=Dat|Gender=Fem|Number=Sing	31	flat:name	_	@yad1986m-words#@yad1986m#81.57#81.84
33	/	/	PUNCT	_	_	31	punct	_	@yad1986m-words#@yad1986m#81.84#82.11
34	если	если	SCONJ	_	_	37	mark	_	@yad1986m-words#@yad1986m#82.11#82.38
35	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	37	nsubj	_	@yad1986m-words#@yad1986m#82.38#82.65
36	даже	даже	PART	_	_	37	advmod	_	@yad1986m-words#@yad1986m#82.65#82.92
37	скажешь	сказать	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=2|Tense=Fut|VerbForm=Fin|Voice=Act	40	advcl	_	@yad1986m-words#@yad1986m#82.92#83.19
38	что	что	PRON	_	Case=Acc	37	obj	_	@yad1986m-words#@yad1986m#83.19#83.46
39	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	40	nsubj	_	@yad1986m-words#@yad1986m#83.46#83.73
40	ел	есть	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	9	parataxis	_	@yad1986m-words#@yad1986m#83.73#84.0
41	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	40	obj	_	@yad1986m-words#@yad1986m#84.0#84.27
42	будет	быть	AUX	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	40	aux	_	@yad1986m-words#@yad1986m#84.27#84.54
43	здорово	здоровый	ADV	_	Degree=Pos	46	advmod	_	@yad1986m-words#@yad1986m#84.54#84.83
44	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	46	nsubj	_	@yad1986m-words#@yad1986m#122.85#123.118
45	изначально	изначально	ADV	_	Degree=Pos	46	advmod	_	@yad1986m-words#@yad1986m#123.118#123.386
